3.3,20,6700
5.9,20,6700
5.3,25,7000
4.2,30,7000
2.5,10,7000
4.7,20,7000
4.7,30,8000
7.7,30,8000
5.2,20,8000
16,60,8000
6,25,8000
7,35,9000
7,40,10000
7.6,45,9000
7.6,50,10000
8.5,45,10000
8.5,50,11000
8.2,40,10000
8.2,50,11000
9.5,40,10000
8.8,50,11000
9.5,50,11000
9.5,60,12000
10,46,13000
9,50,14000
9.3,50,14000
14.5,50,15000
13,60,15000
14.6,60,16000
12.4,45,15000
13.4,60,19000
13.2,50,16000
14.6,50,15000
13.4,70,19000
14.2,60,20000
16.8,60,17000
12,50,18000
18,70,22000
17,70,23000
18,80,24000
19.3,50,26000
22.8,70,27000
21.3,40,37000
18,30,29000
25,35,35000
23,35,29000
21,35,30000
30,40,34000
7,35,9000
7,40,10000
7.6,45,9000
7.6,50,10000
4.1,20,6700
13.4,80,19000
13.4,90,19000
4.7,30,8000
16,60,8000
7,40,10000
7.6,50,10000
8.5,45,10000
8.5,50,11000
8.2,40,10000
8.2,50,11000
8.8,50,11000
9.5,50,11000
9.5,60,12000
9.5,60,12000
10,46,13000
9,50,14000
9.3,50,14000
14.5,50,15000
13.4,70,19000
13,60,15000
14.6,60,16000
12.4,45,15000
13.1,50,16000
18,30,29000
25,35,35000
23,35,29000
17,70,23000
18,80,24000
19.3,50,26000
22.8,70,27000
25,35,35000
23,35,29000
21,35,30000
30,40,34000
7,45,10000
7,40,10000
7.6,45,9000
7.6,50,10000
8.5,45,10000
8.5,60,11000
18,30,29000
25,35,35000
23,35,29000
3.3,20,6700
5.9,20,6700
5.3,25,7000
4.2,30,7000
