6.8,15,11000
6,25,11000
5.8,25,11000
6.8,25,12000
6,40,13000
5.8,35,12000
4.8,15,11000
5.6,20,11000
5.6,30,12000
4.8,15,11000
3.1,10,11000
3,10,11000
4.4,15,11000
3.1,20,12500
3,20,12000
4.4,20,12000
6.1,20,11000
8.9,20,11000
6.3,20,11000
8.9,30,12000
6.1,20,12000
6.3,30,12000
1,5,11000
1,15,13000
2.4,10,11000
2.4,15,12000
12.5,40,13400
12.2,40,13400
12.8,40,13400
12.5,50,14500
6.8,25,14000
12.8,50,14000
12.2,50,15000
9.7,10,14000
9.7,20,15000
7.4,25,15700
6.6,25,15700
6.1,25,15700
7.4,35,16000
6.6,35,17000
6.1,35,17000
7.4,45,17000
6.9,25,16000
7,25,16000
7.1,20,16000
6.9,35,17000
7,35,17000
7.1,25,16500
4.2,15,16000
4.2,20,17000
4.9,15,16000
4.9,25,17000
6.7,20,17000
6.1,20,17000
6.7,30,18000
6.1,25,17500
6.2,20,17000
5.5,20,17000
6.1,35,19000
6.2,25,18000
8.4,25,17000
7.8,25,17000
6.8,20,17000
7,25,17000
8.4,35,18000
7.8,35,18500
6.8,25,18000
5.7,25,17000
5.7,35,18000
9.2,25,19000
9.4,25,19000
9.2,30,19500
9.4,30,19500
3.9,15,16000
4.6,15,16000
3.9,25,17000
4.6,25,18000
11.6,15,14000
11.6,22,15000
6.8,20,14000
6,30,14000
5.8,30,14000
6.8,25,15000
6,30,15000
6.8,35,16000
3.4,15,11000
4.6,15,11000
8.9,30,20000
7.9,30,20000
8.6,30,20000
3.4,20,12000
4.6,25,12000
8.9,45,22000
7.9,45,23000
8.6,40,21000
6.7,25,20000
7.1,30,20000
8.3,30,20000
6.7,30,21000
8.3,45,23000
